TransactionId,TransactionDateTime,SelfServiceStatus,EventName,EventDate,VenueCountry,VenueCity,Section,Row,SeatFrom,SeatTo,Quantity,ListingNotes,CurrencyCode,TotalSellerNetProceeds,DeliveryMethodName
540223802,31/07/2024 05:08:17 p. m.,Complete,Guadalajara vs C.F. Monterrey,29/09/2024 03:05:00 a. m.,México,Zapopan,Lower Tier 34,,,,1,Organización del Evento,MXN,1303.2000,Transferencia móvil
552081674,09/01/2025 10:21:32 p. m.,Complete,CD Guadalajara vs Club Santos Laguna,12/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 1,,,,5,"Incluye estacionamiento, Organización del Evento",MXN,15628.5000,Transferencia móvil
548611429,15/11/2024 07:31:15 a. m.,Complete,Chivas vs Atlas,22/11/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 34,,,,1,Organización del Evento,MXN,1707.3000,Transferencia móvil
548990016,20/11/2024 10:27:00 p. m.,Complete,Chivas vs Atlas,22/11/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 34,,,,1,Organización del Evento,MXN,1030.5000,Transferencia móvil
552541020,17/01/2025 08:44:11 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 14,,,,4,"Incluye estacionamiento, Organización del Evento",MXN,2520.0000,Transferencia móvil
548575243,14/11/2024 08:44:20 p. m.,Complete,Chivas vs Atlas,22/11/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 12,,,,6,Organización del Evento,MXN,7986.6000,Transferencia móvil
552189707,11/01/2025 05:48:46 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 19,,,,3,"Incluye estacionamiento, Organización del Evento",MXN,4074.3000,Transferencia móvil
551903512,05/01/2025 11:31:27 p. m.,Complete,CD Guadalajara vs Club Santos Laguna,12/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 7,,,,1,Organización del Evento,MXN,737.1000,Transferencia móvil
548602337,15/11/2024 03:09:27 a. m.,Complete,Chivas vs Atlas,22/11/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 11,,,,2,Organización del Evento,MXN,3780.0000,Transferencia móvil
548573461,14/11/2024 08:18:53 p. m.,Complete,Chivas vs Atlas,22/11/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 2,,,,2,Organización del Evento,MXN,3598.2000,Transferencia móvil
551987367,07/01/2025 10:32:13 p. m.,Complete,CD Guadalajara vs Club Santos Laguna,12/01/2025 01:05:00 a. m.,México,Zapopan,Upper Tier 24,,,,4,"Incluye estacionamiento, Organización del Evento",MXN,1112.4000,Transferencia Móvil de Entradas
552803028,22/01/2025 03:24:06 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 38,,,,2,"Incluye estacionamiento, Organización del Evento",MXN,3434.4000,Transferencia móvil
552412972,15/01/2025 09:41:34 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 38,,,,7,"Incluye estacionamiento, Organización del Evento",MXN,18818.1000,Transferencia móvil
552256646,12/01/2025 08:56:35 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Upper Tier 47,,,,2,"Incluye estacionamiento, Organización del Evento",MXN,919.8000,Transferencia móvil
552899076,24/01/2025 02:49:32 a. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 19,,,,3,"Incluye estacionamiento, Organización del Evento",MXN,4490.1000,Transferencia móvil
552208222,11/01/2025 10:32:42 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 2,,,,2,"Incluye estacionamiento, Organización del Evento",MXN,4498.2000,Transferencia móvil
552753815,21/01/2025 04:05:22 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Lower Tier 19,,,,10,"Incluye estacionamiento, Organización del Evento",MXN,17982.0000,Transferencia móvil
548918068,19/11/2024 07:38:00 p. m.,Complete,Chivas vs Atlas,22/11/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 16,,,,2,Organización del Evento,MXN,1258.2000,Transferencia móvil
552777333,21/01/2025 11:59:57 p. m.,Complete,CD Guadalajara vs Tigres,26/01/2025 01:05:00 a. m.,México,Zapopan,Upper Tier 47,,,,7,"Incluye estacionamiento, Organización del Evento",MXN,7560.0000,Transferencia móvil
